,Word,Definitions
1702,identification,the act of designating or identifying something
1703,return,document giving the tax collector information about the taxpayer's tax liability
1704,young,any immature animal
1705,patch,a small contrasting part of something
1706,regard,(usually preceded by `in') a detail or point
1707,wine,fermented juice (of grapes especially)
1708,fault,a wrong action attributable to bad judgment or ignorance or inattention
1709,tropical,NO DEFINITION FOUND
1710,presence,the state of being present; current existence
1711,history,the aggregate of past events
1712,situation,the general state of things; the combination of circumstances at a given time
1713,cream,the best people or things in a group
1714,global,NO DEFINITION FOUND
1715,still,a static photograph (especially one taken from a movie and used for advertising purposes)
1716,giant,any creature of exceptional size
1717,hardware,major items of military weaponry (as tanks or missile)
1718,modest,NO DEFINITION FOUND
1719,agenda,a temporally organized plan for matters to be attended to
1720,arrest,the act of apprehending (especially apprehending a criminal)
1721,compartment,a space into which an area is subdivided
1722,lock,a fastener fitted to a door or drawer to keep it firmly closed
1723,language,a systematic means of communicating by the use of sounds or conventional symbols
1724,flexible,NO DEFINITION FOUND
1725,hour,a period of time equal to 1/24th of a day
1726,rent,"a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
1727,petty,larceny of property having a value less than some amount (the amount varies by locale)
1728,occasion,an event that occurs at a critical time
1729,proclaim,NO DEFINITION FOUND
1730,unlawful,NO DEFINITION FOUND
1731,bet,the money risked on a gamble
1732,pain,a symptom of some physical hurt or disorder
1733,series,similar things placed in order or happening one after another
1734,fly,two-winged insects characterized by active flight
1735,writer,writes (books or stories or articles or the like) professionally (for pay)
1736,economic,NO DEFINITION FOUND
1737,floor,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
1738,mean,an average of n numbers computed by adding some function of the numbers and dividing by some function of n
1739,manufacture,the organized action of making of goods and services for sale
1740,maze,complex system of paths or tunnels in which it is easy to get lost
1741,impulse,an instinctive motive
1742,nuance,a subtle difference in meaning or opinion or attitude
1743,agile,NO DEFINITION FOUND
1744,dinner,the main meal of the day served in the evening or at midday
1745,facility,a building or place that provides a particular service or is used for a particular industry
1746,means,how a result is obtained or an end is achieved
1747,specimen,an example regarded as typical of its class
1748,kettle,a metal pot for stewing or boiling; usually has a lid
1749,minister,a person authorized to conduct religious worship
1750,location,a point or extent in space
1751,vehicle,a conveyance that transports people or objects
1752,bow,a knot with two loops and loose ends; used to tie shoelaces
1753,grand,the cardinal number that is the product of 10 and 100
1754,goat,any of numerous agile ruminants related to sheep but having a beard and straight horns
1755,journal,a daily written record of (usually personal) experiences and observations
1756,singer,a person who sings
1757,red,red color or pigment; the chromatic color resembling the hue of blood
1758,exempt,NO DEFINITION FOUND
1759,vision,a vivid mental image
1760,triangle,a three-sided polygon
1761,organisation,the persons (or committees or departments etc.) who make up a body for the purpose of administering something
1762,inspire,NO DEFINITION FOUND
1763,conviction,an unshakable belief in something without need for proof or evidence
1764,gallon,United States liquid unit equal to 4 quarts or 3.785 liters
1765,turn,a circular segment of a curve
1766,note,a brief written record
1767,slump,a noticeable deterioration in performance or quality
1768,reflect,NO DEFINITION FOUND
1769,nun,a woman religious
1770,pride,a feeling of self-respect and personal worth
1771,chemistry,the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions
1772,category,a collection of things sharing a common attribute
1773,execution,putting a condemned person to death
1774,production,the act or process of producing something
1775,judicial,NO DEFINITION FOUND
1776,camera,equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
1777,construct,an abstract or general idea inferred or derived from specific instances
1778,childish,NO DEFINITION FOUND
1779,lie,a statement that deviates from or perverts the truth
1780,software,(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
1781,fuss,an excited state of agitation
1782,tradition,an inherited pattern of thought or action
1783,kneel,supporting yourself on your knees
1784,recommendation,something (as a course of action) that is recommended as advisable
1785,bulletin,a brief report (especially an official statement issued for immediate publication or broadcast)
1786,shine,the quality of being bright and sending out rays of light
1787,earthquake,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
1788,bury,NO DEFINITION FOUND
1789,promise,a verbal commitment by one person to another agreeing to do (or not to do) something in the future
1790,village,a community of people smaller than a town
1791,evolution,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
1792,muscle,one of the contractile organs of the body
1793,denial,the act of refusing to comply (as with a request)
1794,television,broadcasting visual images of stationary or moving objects
1795,garbage,food that is discarded (as from a kitchen)
1796,pan,cooking utensil consisting of a wide metal vessel
1797,bend,a circular segment of a curve
1798,admission,the act of admitting someone to enter
1799,inflation,a general and progressive increase in prices
1800,mail,the bags of letters and packages that are transported by the postal service
1801,magazine,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
1802,code,a set of rules or principles or laws (especially written ones)
1803,ceiling,the overhead upper surface of a covered space
1804,fine,money extracted as a penalty
1805,communist,a member of the communist party
1806,wander,NO DEFINITION FOUND
1807,provincial,(Roman Catholic Church) an official in charge of an ecclesiastical province acting under the superior general of a religious order
1808,flawed,NO DEFINITION FOUND
1809,notice,an announcement containing information about an event
1810,requirement,required activity
1811,voice,the distinctive quality or pitch or condition of a person's speech
1812,girl,a young woman
1813,break,some abrupt occurrence that interrupts an ongoing activity
1814,minimum,the smallest possible quantity
1815,member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
1816,distance,the property created by the space between two objects or points
1817,pen,a writing implement with a point from which ink flows
1818,branch,a division of some larger or more complex organization
1819,runner,someone who imports or exports without paying duties
1820,smoke,a cloud of fine particles suspended in a gas
1821,capture,the act of forcibly dispossessing an owner of property
1822,gravel,rock fragments and pebbles
1823,option,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
1824,magnitude,the property of relative size or extent (whether large or small)
1825,chair,"a seat for one person, with a support for the back"
1826,efflux,the process of flowing out
1827,cotton,soft silky fibers from cotton plants in their raw state
1828,resource,available source of wealth; a new or reserve supply that can be drawn upon when needed
1829,initial,the first letter of a word (especially a person's name)
1830,just,NO DEFINITION FOUND
1831,part,something determined in relation to something that includes it
1832,bark,tough protective covering of the woody stems and roots of trees and other woody plants
1833,picture,a visual representation (of an object or scene or person or abstraction) produced on a surface
1834,photograph,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
1835,biscuit,small round bread leavened with baking-powder or soda
1836,radical,(chemistry) two or more atoms bound together as a single unit and forming part of a molecule
1837,crash,a loud resonant repeating noise
1838,scatter,a haphazard distribution in all directions
1839,glide,a vowellike sound that serves as a consonant
1840,government,the organization that is the governing authority of a political unit
1841,snub,an instance of driving away or warding off
1842,flesh,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
1843,pump,a mechanical device that moves fluid or gas by pressure or suction
1844,mass,the property of a body that causes it to have weight in a gravitational field
1845,warn,NO DEFINITION FOUND
1846,insistence,continual and persistent demands
1847,gradual,(Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
1848,rough,the part of a golf course bordering the fairway where the grass is not cut short
1849,potential,the inherent capacity for coming into being
1850,pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
1851,error,a wrong action attributable to bad judgment or ignorance or inattention
1852,sick,people who are sick
1853,panic,an overwhelming feeling of fear and anxiety
1854,sensitive,someone who serves as an intermediary between the living and the dead
1855,equinox,either of two times of the year when the sun crosses the plane of the earth's equator and day and night are of equal length
1856,bless,NO DEFINITION FOUND
1857,tournament,a sporting competition in which contestants play a series of games to decide the winner
1858,powder,a solid substance in the form of tiny loose particles; a solid that has been pulverized
1859,door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
1860,deck,any of various platforms built into a vessel
1861,loan,the temporary provision of money (usually at interest)
1862,week,any period of seven consecutive days
1863,bathroom,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
1864,belt,endless loop of flexible material between two rotating shafts or pulleys
1865,constellation,an arrangement of parts or elements
1866,incredible,NO DEFINITION FOUND
1867,acceptable,NO DEFINITION FOUND
1868,section,a self-contained part of a larger composition (written or musical)
1869,ferry,a boat that transports people or vehicles across a body of water and operates on a regular schedule
1870,drag,the phenomenon of resistance to motion through a fluid
1871,ego,an inflated feeling of pride in your superiority to others
1872,fight,a hostile meeting of opposing military forces in the course of a war
1873,registration,the act of enrolling
1874,fur,the dressed hairy coat of a mammal
1875,nomination,the act of officially naming a candidate
1876,brother,a male with the same parents as someone else
1877,analyst,someone who is skilled at analyzing data
1878,earthflax,NO DEFINITION FOUND
1879,vat,a tax levied on the difference between a commodity's price before taxes and its cost of production
1880,viable,NO DEFINITION FOUND
1881,cheek,either side of the face below the eyes
1882,preach,NO DEFINITION FOUND
1883,ghostwriter,a writer who gives the credit of authorship to someone else
1884,suffer,NO DEFINITION FOUND
1885,private,an enlisted man of the lowest rank in the Army or Marines
1886,seat,a space reserved for sitting (as in a theater or on a train or airplane)
1887,lazy,NO DEFINITION FOUND
1888,echo,the repetition of a sound resulting from reflection of the sound waves
1889,shortcircuit,NO DEFINITION FOUND
1890,autonomy,immunity from arbitrary exercise of authority: political independence
1891,happen,NO DEFINITION FOUND
1892,reproduction,the process of generating offspring
1893,ethics,motivation based on ideas of right and wrong
1894,failure,an act that fails
1895,legislation,law enacted by a legislative body
1896,family,a social unit living together
1897,end,either extremity of something that has length
1898,civilian,a nonmilitary citizen
1899,swop,an equal exchange
1900,enemy,an opposing military force
1901,accessible,NO DEFINITION FOUND
1902,professional,a person engaged in one of the learned professions
1903,haircut,the style in which hair has been cut
1904,link,the means of connection between things linked in series
1905,consensus,agreement in the judgment or opinion reached by a group as a whole
1906,active,chemical agent capable of activity
1907,devote,NO DEFINITION FOUND
1908,camp,temporary living quarters specially built by the army for soldiers
1909,unlike,NO DEFINITION FOUND
1910,faint,a spontaneous loss of consciousness caused by insufficient blood to the brain
1911,copyright,a document granting exclusive right to publish and sell literary or musical or artistic work
1912,laundry,garments or white goods that can be cleaned by laundering
1913,incapable,NO DEFINITION FOUND
1914,thirsty,NO DEFINITION FOUND
1915,bad,that which is below standard or expectations as of ethics or decency
1916,particle,(nontechnical usage) a tiny piece of anything
1917,round,a charge of ammunition for a single shot
1918,cycle,an interval during which a recurring sequence of events occurs
1919,method,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
1920,entitlement,right granted by law or contract (especially a right to benefits)
1921,distinct,NO DEFINITION FOUND
1922,course,education imparted in a series of lessons or meetings
1923,precede,NO DEFINITION FOUND
1924,bite,a wound resulting from biting by an animal or a person
1925,glue,cement consisting of a sticky substance that is used as an adhesive
1926,merit,any admirable quality or attribute
1927,sheet,any broad thin expanse or surface
1928,party,an organization to gain political power
1929,permanent,a series of waves in the hair made by applying heat and chemicals
1930,diplomatic,NO DEFINITION FOUND
1931,judge,a public official authorized to decide questions brought before a court of justice
1932,breakdown,the act of disrupting an established order so it fails to continue
1933,take,the income or profit arising from such transactions as the sale of land or other property
1934,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
1935,notion,a vague idea in which some confidence is placed
1936,tongue,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
1937,burn,pain that feels hot as if it were on fire
1938,fortune,an unknown and unpredictable phenomenon that causes an event to result one way rather than another
1939,premium,payment for insurance
1940,guide,someone employed to conduct others
1941,dip,a depression in an otherwise level surface
1942,eternal,NO DEFINITION FOUND
1943,fix,informal terms for a difficult situation
1944,final,the final match between the winners of all previous matches in an elimination tournament
1945,encourage,NO DEFINITION FOUND
1946,quotation,a short note recognizing a source of information or of a quoted passage
1947,suggest,NO DEFINITION FOUND
1948,outlet,a place of business for retailing goods
1949,listen,NO DEFINITION FOUND
1950,facade,the face or front of a building
1951,sell,the activity of persuading someone to buy
1952,calm,steadiness of mind under stress
1953,drown,NO DEFINITION FOUND
1954,lose,NO DEFINITION FOUND
1955,merchant,a businessperson engaged in retail trade
1956,scramble,an unceremonious and disorganized struggle
1957,business,a commercial or industrial enterprise and the people who constitute it
1958,gasp,a short labored intake of breath with the mouth open
1959,slow,NO DEFINITION FOUND
1960,ride,a journey in a vehicle (usually an automobile)
1961,fuel,a substance that can be consumed to produce energy
1962,serious,NO DEFINITION FOUND
1963,lecture,a speech that is open to the public
1964,teenager,a juvenile between the onset of puberty and maturity
1965,decade,a period of 10 years
1966,temperature,the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
1967,trance,a psychological state induced by (or as if induced by) a magical incantation
1968,try,earnest and conscientious activity intended to do or accomplish something
1969,speech,the act of delivering a formal spoken communication to an audience
1970,classroom,a room in a school where lessons take place
1971,extort,NO DEFINITION FOUND
1972,humanbody,NO DEFINITION FOUND
1973,pattern,a perceptual structure
1974,steward,someone who manages property or other affairs for someone else
1975,impress,the act of coercing someone into government service
1976,cater,NO DEFINITION FOUND
1977,nose,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
1978,wheat,annual or biennial grass having erect flower spikes and light brown grains
1979,park,a large area of land preserved in its natural state as public property
1980,torture,extreme mental distress
1981,lick,a salt deposit that animals regularly lick
1982,resident,someone who lives at a particular place for a prolonged period or who was born there
1983,jump,a sudden and decisive increase
1984,performer,an entertainer who performs a dramatic or musical work for an audience
1985,shaft,a line that forms the length of an arrow pointer
1986,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance
1987,packet,a collection of things wrapped or boxed together
1988,tender,something that can be used as an official medium of payment
1989,arrow,a mark to indicate a direction or relation
1990,activity,any specific behavior
1991,space,the unlimited expanse in which everything is located
1992,afford,NO DEFINITION FOUND
1993,incentive,a positive motivational influence
1994,treasurer,an officer charged with receiving and disbursing funds
1995,atmosphere,a particular environment or surrounding influence
1996,spoil,(usually plural) valuables taken by violence (especially in war)
1997,multiply,NO DEFINITION FOUND
1998,mess,a state of confusion and disorderliness
1999,dark,absence of light or illumination
2000,clique,an exclusive circle of people with a common purpose
2001,detective,a police officer who investigates crimes
2002,respect,(usually preceded by `in') a detail or point
2003,excitement,the feeling of lively and cheerful joy
2004,convenience,the state of being suitable or opportune
2005,intensify,NO DEFINITION FOUND
2006,depressed,NO DEFINITION FOUND
2007,ant,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
2008,visual,NO DEFINITION FOUND
2009,innocent,a person who lacks knowledge of evil
2010,absence,the state of being absent
2011,palm,the inner surface of the hand from the wrist to the base of the fingers
2012,coincidence,an event that might have been arranged although it was really accidental
2013,helpless,NO DEFINITION FOUND
2014,give,the elasticity of something that can be stretched and returns to its original length
2015,meet,a meeting at which a number of athletic contests are held
2016,control,power to direct or determine
2017,surgeon,a physician who specializes in surgery
2018,weight,the vertical force exerted by a mass as a result of gravity
2019,undermine,NO DEFINITION FOUND
2020,day,time for Earth to make a complete rotation on its axis
2021,transfer,the act of moving something from one location to another
2022,few,a small elite group
2023,depression,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
2024,needle,the leaf of a conifer
2025,trail,a track or mark left by something that has passed
2026,sail,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
2027,pepper,climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
2028,dictate,an authoritative rule
2029,occupation,the principal activity in your life that you do to earn money
2030,delete,NO DEFINITION FOUND
2031,funeral,a ceremony at which a dead person is buried or cremated
2032,parade,a ceremonial procession including people marching
2033,circulation,the dissemination of copies of periodicals (as newspapers or magazines)
2034,daughter,a female human offspring
2035,balance,a state of equilibrium
2036,investment,the act of investing; laying out money or capital in an enterprise with the expectation of profit
2037,sow,an adult female hog
2038,chocolate,a beverage made from cocoa powder and milk and sugar; usually drunk hot
2039,live,NO DEFINITION FOUND
2040,resign,NO DEFINITION FOUND
2041,sector,a plane figure bounded by two radii and the included arc of a circle
2042,courtship,a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
2043,accountant,someone who maintains and audits business accounts
2044,easy,NO DEFINITION FOUND
2045,call,a telephone connection
2046,venture,any venturesome undertaking especially one with an uncertain outcome
2047,rescue,recovery or preservation from loss or danger
2048,profound,NO DEFINITION FOUND
2049,fear,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
2050,reputation,the state of being held in high esteem and honor
2051,embrace,the act of clasping another person in the arms (as in greeting or affection)
2052,practical,NO DEFINITION FOUND
2053,fit,a display of bad temper
2054,house,a dwelling that serves as living quarters for one or more families
2055,classify,NO DEFINITION FOUND
2056,thick,the location of something surrounded by other things
2057,convulsion,a sudden uncontrollable attack
2058,article,nonfictional prose forming an independent part of a publication
2059,credibility,the quality of being believable or trustworthy
2060,horizon,the line at which the sky and Earth appear to meet
2061,trunk,the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
2062,intention,an anticipated outcome that is intended or that guides your planned actions
2063,seasonal,a worker who finds employment only in certain seasons
2064,connection,a relation between things or events (as in the case of one causing the other or sharing features with it)
2065,hill,a local and well-defined elevation of the land
2066,body,"the entire structure of an organism (an animal, plant, or human being)"
2067,disorder,a physical condition in which there is a disturbance of normal functioning
2068,tower,a structure taller than its diameter; can stand alone or be attached to a larger building
2069,distribute,NO DEFINITION FOUND
2070,beam,a signal transmitted along a narrow path; guides airplane pilots in darkness or bad weather
2071,theory,a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
2072,behavior,manner of acting or controlling yourself
2073,graphic,an image that is generated by a computer
2074,pound,16 ounces avoirdupois
2075,cooperation,joint operation or action
2076,halt,the state of inactivity following an interruption
2077,owl,nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
2078,feel,an intuitive awareness; 
2079,full,the time when the Moon is fully illuminated
2080,pillow,a cushion to support the head of a sleeping person
2081,gold,coins made of gold
2082,cluster,a grouping of a number of similar things
2083,road,an open way (generally public) for travel or transportation
2084,nonremittal,act of failing to meet a financial obligation
2085,cower,NO DEFINITION FOUND
2086,run,a score in baseball made by a runner touching all four bases safely
2087,whip,an instrument with a handle and a flexible lash that is used for whipping
2088,sugar,a white crystalline carbohydrate used as a sweetener and preservative
2089,cook,someone who cooks food
2090,cassette,a container that holds a magnetic tape used for recording or playing sound or video
2091,belief,any cognitive content held as true
2092,cousin,the child of your aunt or uncle
2093,bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
2094,assertive,NO DEFINITION FOUND
2095,ranch,farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
2096,adjust,NO DEFINITION FOUND
2097,guess,a message expressing an opinion based on incomplete evidence
2098,feign,NO DEFINITION FOUND
2099,absolute,something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
2100,glass,a brittle transparent solid with irregular atomic structure
2101,annual,(botany) a plant that completes its entire life cycle within the space of a year
2102,standard,a basis for comparison; a reference point against which other things can be evaluated
2103,sniff,sensing an odor by inhaling through the nose
2104,boom,a deep prolonged loud noise
2105,conversation,the use of speech for informal exchange of views or ideas or information etc.
2106,channel,a path over which electrical signals can pass
2107,correspond,NO DEFINITION FOUND
2108,ostracize,NO DEFINITION FOUND
2109,confidence,freedom from doubt; belief in yourself and your abilities
2110,platform,a raised horizontal surface
2111,majority,the property resulting from being or relating to the greater in number of two parts; the main part
2112,assignment,a duty that you are assigned to perform (especially in the armed forces)
2113,worth,an indefinite quantity of something having a specified value
2114,inject,NO DEFINITION FOUND
2115,navy,an organization of military vessels belonging to a country and available for sea warfare
2116,insight,clear or deep perception of a situation
2117,tile,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
2118,bald,NO DEFINITION FOUND
2119,liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
2120,rage,a feeling of intense anger
2121,philosophy,a belief (or system of beliefs) accepted as authoritative by some group or school
2122,complex,a conceptual whole made up of complicated and related parts
2123,domination,social control by dominating
2124,morsel,a small quantity of anything
2125,definite,NO DEFINITION FOUND
2126,referee,(sports) the chief official (as in boxing or American football) who is expected to ensure fair play
2127,conglomerate,a composite rock made up of particles of varying size
2128,duke,a British peer of the highest rank
2129,combination,a collection of things that have been combined; an assemblage of separate parts or qualities
2130,reptile,"any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms"
2131,clue,a slight indication
2132,campaign,a race between candidates for elective office
2133,theorist,someone who theorizes (especially in science or art)
2134,civilization,"a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)"
2135,pin,a piece of jewelry that is pinned onto the wearer's garment
2136,reveal,NO DEFINITION FOUND
2137,filter,device that removes something from whatever passes through it
2138,count,the total number counted
2139,beneficiary,the recipient of funds or other benefits
2140,fog,droplets of water vapor suspended in the air near the ground
2141,sour,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
2142,cover,a covering that serves to conceal or shelter something
2143,abandon,the trait of lacking restraint or control; reckless freedom from inhibition or worry
2144,ghost,a mental representation of some haunting experience
2145,permission,approval to do something
2146,difference,the quality of being unlike or dissimilar
2147,cat,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
2148,patent,a document granting an inventor sole rights to an invention
2149,style,how something is done or how it happens
2150,work,activity directed toward making or doing something
2151,reality,all of your experiences that determine how things appear to you
2152,temple,place of worship consisting of an edifice for the worship of a deity
2153,dialect,the usage or vocabulary that is characteristic of a specific group of people
2154,pier,a platform built out from the shore into the water and supported by piles; provides access to ships and boats
2155,height,the vertical dimension of extension; distance from the base of something to the top
2156,scenario,"an outline or synopsis of a play (or, by extension, of a literary work)"
2157,relief,the feeling that comes when something burdensome is removed or reduced
2158,band,an unofficial association of people or groups
2159,jockey,someone employed to ride horses in horse races
2160,sensitivity,(physiology) responsiveness to external stimuli; the faculty of sensation
2161,top,the upper part of anything
2162,rehabilitation,the restoration of someone to a useful place in society
2163,clear,the state of being free of suspicion
2164,bundle,a collection of things wrapped or boxed together
2165,deny,NO DEFINITION FOUND
2166,chapter,a subdivision of a written work; usually numbered and titled
2167,noise,sound of any kind (especially unintelligible or dissonant sound)
2168,enhance,NO DEFINITION FOUND
2169,fitness,the quality of being suitable
2170,appeal,earnest or urgent request
2171,useful,NO DEFINITION FOUND
2172,ball,round object that is hit or thrown or kicked in games
2173,tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
2174,mountain,a land mass that projects well above its surroundings; higher than a hill
2175,lay,a narrative song with a recurrent refrain
2176,belly,the region of the body of a vertebrate between the thorax and the pelvis
2177,look,the feelings expressed on a person's face
2178,movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
2179,queen,the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
2180,cable,a telegram sent abroad
2181,voyage,an act of traveling by water
2182,power,possession of controlling influence
2183,poem,a composition written in metrical feet forming rhythmical lines
2184,drum,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
2185,breast,the front of the trunk from the neck to the abdomen
2186,disturbance,"activity that is a malfunction, intrusion, or interruption"
2187,taste,the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
2188,refrigerator,white goods in which food can be stored at low temperatures
2189,measure,any maneuver made as part of progress toward a goal
2190,forest,the trees and other plants in a large densely wooded area
2191,confront,NO DEFINITION FOUND
2192,harass,NO DEFINITION FOUND
2193,thaw,the process whereby heat changes something from a solid to a liquid
2194,oven,kitchen appliance used for baking or roasting
2195,king,a male sovereign; ruler of a kingdom
2196,free,people who are free
2197,racism,the prejudice that members of one race are intrinsically superior to members of other races
2198,clerk,"an employee who performs clerical work (e.g., keeps records or accounts)"
2199,comfortable,NO DEFINITION FOUND
2200,braid,a hairdo formed by braiding or twisting the hair
2201,cutting,the activity of selecting the scenes to be shown and putting them together to create a film
2202,breakdown,the act of disrupting an established order so it fails to continue
2203,opposite,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
2204,parallel,something having the property of being analogous to something else
2205,fragment,a piece broken off or cut off of something else
2206,throne,"the chair of state for a monarch, bishop, etc."
2207,splurge,an ostentatious display (of effort or extravagance etc.)
2208,buy,an advantageous purchase
2209,moral,the significance of a story or event
2210,dump,a coarse term for defecation
2211,workshop,small workplace where handcrafts or manufacturing are done
2212,eaux,NO DEFINITION FOUND
2213,prevent,NO DEFINITION FOUND
2214,sandwich,two (or more) slices of bread with a filling between them
2215,fascinate,NO DEFINITION FOUND
2216,abolish,NO DEFINITION FOUND
2217,horror,intense and profound fear
2218,paradox,(logic) a statement that contradicts itself
2219,dressing,savory dressings for salads; basically of two kinds: either the thin French or vinaigrette type or the creamy mayonnaise type
2220,physics,the science of matter and energy and their interactions
2221,chase,the act of pursuing in an effort to overtake or capture
2222,application,the act of bringing something to bear; using it for a particular purpose
2223,crystal,a solid formed by the solidification of a chemical and having a highly regular atomic structure
2224,book,a written work or composition that has been published (printed on pages bound together)
2225,slice,a share of something
2226,church,one of the groups of Christians who have their own beliefs and forms of worship
2227,rock,a lump or mass of hard consolidated mineral matter
2228,pack,a large indefinite number
2229,participate,NO DEFINITION FOUND
2230,captivate,NO DEFINITION FOUND
2231,mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
2232,board,a committee having supervisory powers
2233,mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
2234,countryside,rural regions
2235,hole,an opening into or through something
2236,acid,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
2237,implicit,NO DEFINITION FOUND
2238,selection,the act of choosing or selecting
2239,sacred,NO DEFINITION FOUND
2240,ballot,a document listing the alternatives that is used in voting
2241,tape,a long thin piece of cloth or paper as used for binding or fastening
2242,bold,a typeface with thick heavy lines
2243,harm,any physical damage to the body caused by violence or accident or fracture etc.
2244,sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
2245,resist,NO DEFINITION FOUND
2246,secretary,a person who is head of an administrative department of government
2247,fate,an event (or a course of events) that will inevitably happen in the future
2248,pure,NO DEFINITION FOUND
2249,firm,the members of a business organization that owns or operates one or more establishments
2250,rare,NO DEFINITION FOUND
2251,cigarette,finely ground tobacco wrapped in paper; for smoking
2252,polish,the property of being smooth and shiny
2253,century,a period of 100 years
2254,skip,a gait in which steps and hops alternate
2255,fraud,intentional deception resulting in injury to another person
2256,appoint,NO DEFINITION FOUND
2257,art,the products of human creativity; works of art collectively
2258,manage,NO DEFINITION FOUND
2259,neighborhood,a surrounding or nearby region
2260,adventure,a wild and exciting undertaking (not necessarily lawful)
2261,transaction,the act of transacting within or between groups (as carrying on commercial activities)
2262,combine,harvester that heads and threshes and cleans grain while moving across the field
2263,corn,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
2264,abundant,NO DEFINITION FOUND
2265,AIDS,a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
2266,predict,NO DEFINITION FOUND
2267,cathedral,any large and important church
2268,alcohol,a liquor or brew containing alcohol as the active agent
2269,bargain,an agreement between parties (usually arrived at after discussion) fixing obligations of each
2270,Mars,a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
2271,mug,the quantity that can be held in a mug
2272,norm,a standard or model or pattern regarded as typical
2273,offend,NO DEFINITION FOUND
2274,cultural,NO DEFINITION FOUND
2275,improvement,a change for the better; progress in development
2276,expertise,skillfulness by virtue of possessing special knowledge
2277,girlfriend,any female friend
2278,architect,someone who creates plans to be used in making something (such as buildings)
2279,roll,rotary motion of an object around its own axis
